id,title,year,theme,indexed,Cumple Años (2015-2025),Tema Relacionado con Privacidad,Indexado en Fuentes Reconocidas,Cumple Todos los Criterios
Aden2020Interoperability,Aden2020Interoperability.pdf,2020,interoperabilidad,True,True,False,True,False
Amato2021Security,Amato2021Security.pdf,2021,seguridad y privacidad,True,True,True,True,True
Amram2020Building,Amram2020Building.pdf,2020,infraestructura IoT,True,True,False,True,False
Andrasko2021Digital,Andrasko2021Digital.pdf,2021,transformación digital,True,True,False,True,False
Andrasko2021Sustainable,Andrasko2021Sustainable.pdf,2021,sostenibilidad,True,True,False,True,False
Arbabi2023Tracking,Arbabi2023Tracking.pdf,2023,monitoreo de datos,True,True,False,True,False
Arbabi2023Survey,Arbabi2023Survey.pdf,2023,encuesta privacidad,True,True,True,True,True
Ausín2020Etica,Ausín2020Etica.pdf,2020,ética de datos,True,True,False,True,False
Badii2019Privacy,Badii2019Privacy.pdf,2019,privacidad en IoT,True,True,True,True,True
Badii2020Smart,Badii2020Smart.pdf,2020,ciudades inteligentes,True,True,False,True,False
Baik2020Data,Baik2020Data.pdf,2020,gobernanza de datos,True,True,False,True,False
Bak2023Towards,Bak2023Towards.pdf,2023,hacia privacidad diferencial,True,True,True,True,True
Bankava2020Effect,Bankava2020Effect.pdf,2020,impacto regulaciones,True,True,False,True,False
Barbala2023Data,Barbala2023Data.pdf,2023,estrategias de datos,True,True,False,True,False
Bauer2022ForeSight,Bauer2022ForeSight.pdf,2022,predicciones de datos,True,True,False,True,False
Becker2019DAISY,Becker2019DAISY.pdf,2019,gestión de datos,True,True,False,True,False
Becker2022Secondary,Becker2022Secondary.pdf,2022,datos secundarios,True,True,False,True,False
Bekkum2023Using,Bekkum2023Using.pdf,2023,uso ético de datos,True,True,False,True,False
Belmar2024Challenges,Belmar2024Challenges.pdf,2024,desafíos regulatorios,True,True,False,True,False
Bernardes2020Data,Bernardes2020Data.pdf,2020,privacidad en investigación,True,True,True,True,True
